model,switched_trials,no_switch_trials,recovered_by6_fraction,recovered_by20_fraction,no_switch_any_false_alarm_fraction,inference_seconds,n_step10,mean_p_plus15_step10,accuracy_step10,n_step11,mean_p_plus15_step11,accuracy_step11,n_step16,mean_p_plus15_step16,accuracy_step16,n_step20,mean_p_plus15_step20,accuracy_step20,n_step30,mean_p_plus15_step30,accuracy_step30
diffusion,12,12,1.0,1.0,0.0,11.883261487993877,12,0.053576496618823626,1.0,12,0.4585609635646101,0.3333333333333333,12,0.9999742039188396,1.0,12,1.4048855699788103e-21,0.0,12,0.3628982844300124,0.4166666666666667
autoregressive,12,12,0.8333333333333334,1.0,0.0,2.391179666039534,12,0.13236873539376412,1.0,12,0.24375451237129184,0.0,12,0.9551462581512107,1.0,12,0.30342580118652046,0.3333333333333333,12,0.5455902789219279,0.5833333333333334
cvae,12,12,0.8333333333333334,1.0,0.0,0.8729080809862353,12,0.06705908214638664,1.0,12,0.3463879281501014,0.16666666666666666,12,0.9069404126884436,0.9166666666666666,12,0.251338532996956,0.25,12,4.470839386619133e-12,0.0
flow_matching,12,12,1.0,1.0,0.0,49.58179263299098,12,0.0670559043941234,1.0,12,0.3451027387885934,0.0,12,0.9999787183765174,1.0,12,0.12996792415945768,0.08333333333333333,12,0.005451121972214816,0.0
