panel,series,x,success_percent
A,CEM,8,0.0
A,CEM,16,0.0
A,CEM,32,5.555555555555555
A,CEM,64,5.555555555555555
A,CEM,128,11.11111111111111
A,CEM,256,22.22222222222222
A,Proposal model,8,62.22222222222222
A,Proposal model,16,66.66666666666667
A,Proposal model,32,74.44444444444444
A,Proposal model,64,74.44444444444444
A,Proposal model,128,82.22222222222221
A,Proposal model,256,90.0
A,Gated proposal model,8,83.33333333333334
A,Gated proposal model,16,94.44444444444444
A,Gated proposal model,32,97.77777777777779
A,Gated proposal model,64,96.66666666666666
A,Gated proposal model,128,98.88888888888889
A,Gated proposal model,256,98.88888888888889
A,Large-K CEM,512,88.88888888888889
A,Large-K CEM,1024,94.44444444444444
B,CEM,0.04467485547290373,0.0
B,CEM,0.09027066031854171,0.0
B,CEM,0.1804208080425679,5.555555555555555
B,CEM,0.3606008505259293,5.555555555555555
B,CEM,0.7262128085392419,11.11111111111111
B,CEM,1.458031304445064,22.22222222222222
B,Proposal model,0.027613761395131043,62.22222222222222
B,Proposal model,0.05025177078152755,66.66666666666667
B,Proposal model,0.0952000008882727,74.44444444444444
B,Proposal model,0.18339474893725338,74.44444444444444
B,Proposal model,0.36468801609735346,82.22222222222221
B,Proposal model,0.7271137215282258,90.0
B,Gated proposal model,0.05126560409248988,83.33333333333334
B,Gated proposal model,0.09682215603698631,94.44444444444444
B,Gated proposal model,0.18769635595713782,97.77777777777779
B,Gated proposal model,0.3706897347850463,96.66666666666666
B,Gated proposal model,0.7373012171432265,98.88888888888889
B,Gated proposal model,1.4724350173105145,98.88888888888889
B,Large-K CEM,4.396787236471192,88.88888888888889
B,Large-K CEM,8.794119138698035,94.44444444444444
C,CEM,50,0.0
C,CEM,100,0.0
C,CEM,250,5.555555555555555
C,CEM,500,5.555555555555555
C,CEM,1000,11.11111111111111
C,Proposal model,50,52.22222222222223
C,Proposal model,100,60.0
C,Proposal model,250,68.88888888888889
C,Proposal model,500,86.66666666666666
C,Proposal model,1000,96.66666666666666
C,CVAE,50,88.88888888888889
C,CVAE,100,94.44444444444444
C,CVAE,250,94.44444444444444
C,CVAE,500,100.0
C,CVAE,1000,100.0
D,CEM,50,0.0
D,CEM,100,11.11111111111111
D,CEM,250,22.22222222222222
D,CEM,500,16.666666666666664
D,CEM,1000,27.77777777777778
D,Proposal model,50,73.33333333333333
D,Proposal model,100,80.0
D,Proposal model,250,95.55555555555554
D,Proposal model,500,93.33333333333333
D,Proposal model,1000,97.77777777777779
D,CVAE,50,100.0
D,CVAE,100,100.0
D,CVAE,250,100.0
D,CVAE,500,100.0
D,CVAE,1000,100.0
