model,reference_trajectory,source_episode_id,prediction_step,valid_endpoints,error_sum_mm
diffusion,test_c07_side+1,72200,6,48,453.0063769003771
diffusion,test_c08_side-1,80200,1,48,16.442598525846538
diffusion,test_c08_side-1,80200,2,48,36.5105823552462
diffusion,test_c08_side-1,80200,3,48,44.28621539102745
diffusion,test_c08_side-1,80200,4,48,72.34432354924428
diffusion,test_c08_side-1,80200,5,48,136.4213541116983
diffusion,test_c08_side-1,80200,6,48,228.25941560394074
diffusion,test_c08_side+1,82200,1,48,44.64783670813839
diffusion,test_c08_side+1,82200,2,48,130.7131422512311
diffusion,test_c08_side+1,82200,3,48,240.62415184328916
diffusion,test_c08_side+1,82200,4,48,401.57813700381655
diffusion,test_c08_side+1,82200,5,48,628.3651758450435
diffusion,test_c08_side+1,82200,6,48,869.0931533321086
autoregressive,test_c00_side-1,200,1,48,138.6448185714451
autoregressive,test_c00_side-1,200,2,48,390.10448563476126
autoregressive,test_c00_side-1,200,3,48,803.6304044185143
autoregressive,test_c00_side-1,200,4,48,1388.4133132110771
autoregressive,test_c00_side-1,200,5,48,2359.9121239973206
autoregressive,test_c00_side-1,200,6,48,3157.6772087361906
autoregressive,test_c00_side+1,2200,1,48,170.2950236545234
autoregressive,test_c00_side+1,2200,2,48,251.10585561471964
autoregressive,test_c00_side+1,2200,3,48,450.1443567730199
autoregressive,test_c00_side+1,2200,4,48,735.8237568070232
autoregressive,test_c00_side+1,2200,5,48,1248.3702573390947
autoregressive,test_c00_side+1,2200,6,48,1834.802126113003
autoregressive,test_c01_side-1,10200,1,48,76.88234436966319
autoregressive,test_c01_side-1,10200,2,48,205.47874307093122
autoregressive,test_c01_side-1,10200,3,48,444.4119768643844
autoregressive,test_c01_side-1,10200,4,48,995.4278832369812
autoregressive,test_c01_side-1,10200,5,48,1691.2529229725462
autoregressive,test_c01_side-1,10200,6,48,2557.5315621935247
autoregressive,test_c01_side+1,12200,1,48,73.02731365530427
autoregressive,test_c01_side+1,12200,2,48,110.13219671650666
autoregressive,test_c01_side+1,12200,3,48,188.30692440877218
autoregressive,test_c01_side+1,12200,4,48,326.3299115628209
autoregressive,test_c01_side+1,12200,5,48,490.52956238536825
autoregressive,test_c01_side+1,12200,6,48,793.7746637683833
autoregressive,test_c02_side-1,20200,1,48,168.72564475019752
autoregressive,test_c02_side-1,20200,2,48,361.88096091586567
autoregressive,test_c02_side-1,20200,3,48,670.3162720430706
autoregressive,test_c02_side-1,20200,4,45,1003.1638391746558
autoregressive,test_c02_side-1,20200,5,43,1509.232258360361
autoregressive,test_c02_side-1,20200,6,42,2110.854353100656
autoregressive,test_c02_side+1,22200,1,48,127.24238382217828
autoregressive,test_c02_side+1,22200,2,48,284.9554148275775
autoregressive,test_c02_side+1,22200,3,48,512.0916488760175
autoregressive,test_c02_side+1,22200,4,48,788.389752302125
autoregressive,test_c02_side+1,22200,5,48,1144.810158310876
autoregressive,test_c02_side+1,22200,6,48,1658.851046637756
autoregressive,test_c03_side-1,30200,1,48,145.56280072555717
autoregressive,test_c03_side-1,30200,2,48,272.3775595945179
autoregressive,test_c03_side-1,30200,3,48,474.5701998457744
autoregressive,test_c03_side-1,30200,4,48,769.8424909005963
autoregressive,test_c03_side-1,30200,5,48,1202.2666421024514
autoregressive,test_c03_side-1,30200,6,48,1855.943834017182
autoregressive,test_c03_side+1,32200,1,48,113.23850082541894
autoregressive,test_c03_side+1,32200,2,48,328.2110681501969
autoregressive,test_c03_side+1,32200,3,48,747.7643658353105
autoregressive,test_c03_side+1,32200,4,48,1335.9559744052783
autoregressive,test_c03_side+1,32200,5,48,2118.432717279574
autoregressive,test_c03_side+1,32200,6,45,2837.3948192021353
autoregressive,test_c04_side-1,40200,1,48,57.56767473990913
autoregressive,test_c04_side-1,40200,2,48,138.73402434923685
autoregressive,test_c04_side-1,40200,3,48,280.7159670344053
autoregressive,test_c04_side-1,40200,4,48,586.9249078345142
autoregressive,test_c04_side-1,40200,5,48,917.2713823424269
autoregressive,test_c04_side-1,40200,6,48,1398.0950789828166
autoregressive,test_c04_side+1,42200,1,48,53.1081440857112
autoregressive,test_c04_side+1,42200,2,48,125.46400800687073
