model,arm,case,trial_seed,lateral_tilt_degrees,success,terminal,source
diffusion,correct,4,107,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_04_rng107/episode_summary.json
diffusion,correct,4,108,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_04_rng108/episode_summary.json
diffusion,correct,4,109,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_04_rng109/episode_summary.json
diffusion,correct,4,110,0,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_04_rng110/episode_summary.json
diffusion,correct,5,101,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_05_rng101/episode_summary.json
diffusion,correct,5,102,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_05_rng102/episode_summary.json
diffusion,correct,5,103,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_05_rng103/episode_summary.json
diffusion,correct,5,104,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_05_rng104/episode_summary.json
diffusion,correct,5,105,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_05_rng105/episode_summary.json
diffusion,correct,5,106,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_05_rng106/episode_summary.json
diffusion,correct,5,107,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_05_rng107/episode_summary.json
diffusion,correct,5,108,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_05_rng108/episode_summary.json
diffusion,correct,5,109,15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_05_rng109/episode_summary.json
diffusion,correct,5,110,15,0,timeout,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_05_rng110/episode_summary.json
diffusion,correct,6,101,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_06_rng101/episode_summary.json
diffusion,correct,6,102,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_06_rng102/episode_summary.json
diffusion,correct,6,103,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_06_rng103/episode_summary.json
diffusion,correct,6,104,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_06_rng104/episode_summary.json
diffusion,correct,6,105,-15,1,success,outputs/e1_full/fits/diffusion/seed_13/test/behavior/every_step/condition_06_rng105/episode_summary.json
