H,K,action_smoothness,benchmark_mode,calibrated_K,calibration_over_budget,calibration_planning_mean_sec,calibration_planning_p50_sec,calibration_planning_p90_sec,collision,episode_length,equal_wall_clock_budget_ms,equal_wall_clock_device,equal_wall_clock_run_dir,experiment,fall_out,final_distance_to_goal,mean_action_diversity,mean_action_magnitude,mean_best_of_K_G_total,mean_best_of_K_final_distance,mean_best_of_K_success_proxy,mean_both_side_routes_covered,mean_candidate_collision_rate,mean_candidate_fall_out_rate,mean_candidates_per_second,mean_center_route_fraction,mean_endpoint_diversity,mean_feasible_center_route_fraction,mean_feasible_left_route_fraction,mean_feasible_proposal_rate,mean_feasible_right_route_fraction,mean_feasible_side_route_coverage,mean_invalid_action_fraction,mean_invalid_route_fraction,mean_left_route_covered,mean_left_route_fraction,mean_log_prob_neg_G_correlation,mean_log_prob_success_proxy_correlation,mean_max_policy_probability,mean_median_G_total,mean_posterior_entropy,mean_posterior_left_mass,mean_posterior_mass_left,mean_posterior_mass_right,mean_posterior_right_mass,mean_right_route_covered,mean_right_route_fraction,mean_route_entropy,mean_route_mode_count,mean_selected_candidate_G_total,mean_selected_candidate_log_prob,mean_selected_candidate_rank_by_G,mean_selected_candidate_score,mean_selected_vs_best_gap,mean_selected_vs_best_of_K_gap,mean_selected_vs_median_gap,model,ood,path_length,physics_backend,planning_time_per_decision,proposal_time_per_decision,rollout_scoring_time_per_decision,run_id,scene_id,seed,status,success,terminal_reason,timeout,total_planning_time_per_episode,total_wall_clock_time_per_episode,true_tilt_lateral,true_tilt_longitudinal,variant,wall_clock_time_per_decision
8,16,0.9898214936256409,equal_k,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,False,31,50,cpu,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,heldout_start_goal,False,0.11750667542219162,3.95784116560413,1.0846061706542969,5.39313341340711,0.38701522470481936,0.2903225806451613,0.0,0.0,0.010080645161290322,41724.17071367803,0.0,0.03809716618589817,0.0,0.9899193548387096,0.9899193548387096,0.0,0.0,0.0,0.010080645161290322,1.0,0.9899193548387096,0.751132956001558,nan,0.20222249603079212,5.97000620442052,2.268410401959573,1.0000000011890322,1.0000000011890322,0.0,0.0,0.0,0.0,0.025681509606299863,1.064516129032258,5.39313341340711,19.019716465665446,0.0,5.39313341340711,0.0,0.0,-0.57687279101341,bc_mdn_aif,False,1.0980223417282104,mujoco_rigid,0.04389594412679153,0.0003862739315316562,0.04342849340830599,bc_mdn_aif:equal_k:scene110:seed0,110,0,ok,True,success,False,1.3607742679305375,1.3811935361009091,0.0,0.0,generator_aif_score_equal_wall_clock,0.04455463019680352
8,16,0.8724327087402344,equal_k,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,False,29,50,cpu,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,heldout_start_goal,False,0.0967181995511055,3.958199476373607,1.044714331626892,5.41767875901584,0.39033589126734897,0.27586206896551724,0.0,0.0,0.0,42216.10507683294,0.0,0.03259760833441697,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8432350218477759,nan,0.20750876490412087,5.984297534515118,2.26440966951436,0.9999999995485143,0.9999999995485143,0.0,0.0,0.0,0.0,0.0,1.0,5.41767875901584,20.70921471612207,0.0,5.41767875901584,0.0,0.0,-0.5666187754992781,bc_mdn_aif,False,1.0848610401153564,mujoco_rigid,0.043953992390266525,0.00037918934710966105,0.0434947136211498,bc_mdn_aif:equal_k:scene110:seed1,110,1,ok,True,success,False,1.2746657793177292,1.2939243668224663,0.0,0.0,generator_aif_score_equal_wall_clock,0.0446180816145678
8,16,1.5508619546890259,equal_k,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,False,29,50,cpu,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,heldout_start_goal,False,0.1096663698554039,3.8461709104735275,1.2078168392181396,5.428982118080402,0.3887327642276369,0.3103448275862069,0.0,0.0,0.0,42547.85068587532,0.0,0.02656886700926156,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8210534794787703,nan,0.17129120590357944,5.857093486292609,2.3733435417043753,0.9999999981450856,0.9999999981450856,0.0,0.0,0.0,0.0,0.0,1.0,5.428982118080402,21.964004804348125,0.0,5.428982118080402,0.0,0.0,-0.42811136821220663,bc_mdn_aif,False,1.0555007457733154,mujoco_rigid,0.04391074471641332,0.0003762014435026152,0.043454927789721765,bc_mdn_aif:equal_k:scene110:seed2,110,2,ok,True,success,False,1.2734115967759863,1.2926818039268255,0.0,0.0,generator_aif_score_equal_wall_clock,0.0445752346181664
8,16,0.6816087365150452,equal_k,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,False,30,50,cpu,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,heldout_start_goal,False,0.08400558680295944,3.867589561144511,1.0429232120513916,5.637297761440277,0.4054411455988884,0.3,0.0,0.0,0.0,42394.145995608145,0.0,0.03133924774204691,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.788357085213006,nan,0.21365146040916444,6.226677493254344,2.23175653219223,0.9999999983180411,0.9999999983180411,0.0,0.0,0.0,0.0,0.0,1.0,5.637297761440277,21.194646024703978,0.0,5.637297761440277,0.0,0.0,-0.5893797318140666,bc_mdn_aif,False,1.1237595081329346,mujoco_rigid,0.044086619598480564,0.00037756792347257335,0.04362858809763566,bc_mdn_aif:equal_k:scene113:seed0,113,0,ok,True,success,False,1.3225985879544169,1.3426069441484287,0.0,0.0,generator_aif_score_equal_wall_clock,0.044753564804947625
8,16,1.100841760635376,equal_k,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,False,30,50,cpu,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,heldout_start_goal,False,0.08710887283086777,3.9960477113723756,1.0956052541732788,5.676204669475555,0.4082363784313202,0.3,0.0,0.0,0.0,42256.688115847544,0.0,0.028789495086918273,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8204785634256525,nan,0.20878134816884994,6.2315990090370175,2.270355999469757,0.999999999978839,0.999999999978839,0.0,0.0,0.0,0.0,0.0,1.0,5.676204669475555,20.283969799677532,0.0,5.676204669475555,0.0,0.0,-0.5553943395614624,bc_mdn_aif,False,1.133080244064331,mujoco_rigid,0.0443235285153302,0.00037884126650169494,0.043864915904123336,bc_mdn_aif:equal_k:scene113:seed1,113,1,ok,True,success,False,1.3297058554599062,1.3497129291063175,0.0,0.0,generator_aif_score_equal_wall_clock,0.04499043097021058
8,16,1.8296865224838257,equal_k,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,False,32,50,cpu,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,heldout_start_goal,False,0.09655217081308365,4.064008578658104,1.3501136302947998,5.4353067725896835,0.390354931820184,0.3125,0.0,0.0078125,0.0,42311.79452525284,0.0,0.03140931643429212,0.0,0.9921875,0.9921875,0.0,0.0,0.0,0.0078125,1.0,0.9921875,0.6815853914113779,nan,0.22879023989662528,6.073654405772686,2.2390869110822678,0.999999996791928,0.999999996791928,0.0,0.0,0.0,0.0,0.026386046782135963,1.09375,5.4353067725896835,16.528708282858133,0.0,5.4353067725896835,0.0,0.0,-0.6383476331830025,bc_mdn_aif,False,1.115921974182129,mujoco_rigid,0.04370734544136212,0.00037837226045667194,0.04324890112911817,bc_mdn_aif:equal_k:scene113:seed2,113,2,ok,True,success,False,1.398635054123588,1.4197698923526332,0.0,0.0,generator_aif_score_equal_wall_clock,0.04436780913601979
8,16,0.9650667309761047,equal_k,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,False,39,50,cpu,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,heldout_start_goal,False,0.10195821523666382,3.7160294361603565,1.1583030223846436,7.722829372454912,0.5685215319196383,0.23076923076923078,0.0,0.0,0.0,42234.09468771708,0.0,0.030029962304979563,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8094071324047208,nan,0.18803275529390726,8.221065258368467,2.3178449257826195,0.9999999997081221,0.9999999997081221,0.0,0.0,0.0,0.0,0.0,1.0,7.722829372454912,21.758264529399383,0.0,7.722829372454912,0.0,0.0,-0.49823588591355544,bc_mdn_aif,False,1.4461767673492432,mujoco_rigid,0.04470052823233299,0.00037902807040760916,0.04424150232882358,bc_mdn_aif:equal_k:scene128:seed0,128,0,ok,True,success,False,1.7433206010609865,1.76929228939116,0.0,0.0,generator_aif_score_equal_wall_clock,0.04536646895874769
8,16,0.933347225189209,equal_k,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,False,38,50,cpu,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,heldout_start_goal,False,0.11696778237819672,3.755543746446308,1.1796009540557861,8.010152330524043,0.588928237949547,0.18421052631578946,0.0,0.0,0.0,42253.57118689976,0.0,0.02830647142898095,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8612125391429475,nan,0.18421392025131927,8.444506673436416,2.339334902010466,1.0000000018959614,1.0000000018959614,0.0,0.0,0.0,0.0,0.0,1.0,8.010152330524043,24.032919682954486,0.0,8.010152330524043,0.0,0.0,-0.4343543429123728,bc_mdn_aif,False,1.4346355199813843,mujoco_rigid,0.04550101977197061,0.00037887624134064506,0.04504248312074005,bc_mdn_aif:equal_k:scene128:seed1,128,1,ok,True,success,False,1.7290387513348833,1.7544172084890306,0.0,0.0,generator_aif_score_equal_wall_clock,0.046168873907606066
8,16,1.2724015712738037,equal_k,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,False,39,50,cpu,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,heldout_start_goal,False,0.10149089246988297,3.826603192549485,1.4120818376541138,7.692794665312156,0.5637223961261603,0.23076923076923078,0.0,0.0,0.0,42379.94831791224,0.0,0.03229441203905317,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7710429469473971,nan,0.21619080408261374,8.241059951293163,2.279404343702854,0.9999999989835464,0.9999999989835464,0.0,0.0,0.0,0.0,0.0,1.0,7.692794665312156,20.578630918111557,0.0,7.692794665312156,0.0,0.0,-0.5482652859810071,bc_mdn_aif,False,1.4783291816711426,mujoco_rigid,0.044559497541437544,0.00037778716964217334,0.044101950384151094,bc_mdn_aif:equal_k:scene128:seed2,128,2,ok,True,success,False,1.7378204041160643,1.763680709991604,0.0,0.0,generator_aif_score_equal_wall_clock,0.04522258230747703
8,16,0.854406476020813,equal_k,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,False,39,50,cpu,outputs/equal_wall_clock_cpu/evaluation_runs/heldout_start_goal/budget_50ms/bc_mdn_aif_K16,heldout_start_goal,False,0.09030891954898834,3.6770766514998217,1.1060435771942139,7.923535521213825,0.5837994007728039,0.20512820512820512,0.0,0.0,0.0,42253.15055603874,0.07532051282051282,0.030582038805079766,0.07532051282051282,0.9246794871794872,1.0,0.0,0.0,0.0,0.0,0.9487179487179487,0.9246794871794872,0.8094995905492335,nan,0.2023379793151831,8.514121770858765,2.253139025125748,0.923730064890874,0.923730064890874,0.0,0.0,0.0,0.0,0.005994658057506268,1.0256410256410255,7.923535521213825,22.340672120069847,0.0,7.923535521213825,0.0,0.0,-0.5905862496449397,bc_mdn_aif,False,1.491030216217041,mujoco_rigid,0.0449068798408963,0.00037887493351426645,0.0444479465084628,bc_mdn_aif:equal_k:scene129:seed0,129,0,ok,True,success,False,1.7513683137949556,1.777265232987702,0.0,0.0,generator_aif_score_equal_wall_clock,0.04557090340994108
