budget_ms,calibrated_K,episode_rows,experiment,failure_count,model,reused,run_dir,step_rows
500,64,18,id_n_sweep,0,cem_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_500ms/cem_aif_K64,1593
1000,128,18,id_n_sweep,0,cem_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_1000ms/cem_aif_K128,1538
50,16,18,id_n_sweep,0,cvae_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_50ms/cvae_aif_K16,714
100,32,18,id_n_sweep,0,cvae_aif,True,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_100ms/cvae_aif_K32,726
250,64,18,id_n_sweep,0,cvae_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_250ms/cvae_aif_K64,725
500,128,18,id_n_sweep,0,cvae_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_500ms/cvae_aif_K128,654
1000,256,18,id_n_sweep,0,cvae_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_1000ms/cvae_aif_K256,650
50,1,18,id_n_sweep,0,diffusion_policy_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_50ms/diffusion_policy_aif_K1,1140
100,1,18,id_n_sweep,0,diffusion_policy_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_100ms/diffusion_policy_aif_K1,1140
250,4,18,id_n_sweep,0,diffusion_policy_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_250ms/diffusion_policy_aif_K4,990
500,8,18,id_n_sweep,0,diffusion_policy_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_500ms/diffusion_policy_aif_K8,896
1000,16,18,id_n_sweep,0,diffusion_policy_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_1000ms/diffusion_policy_aif_K16,837
50,8,18,id_n_sweep,0,flow_matching_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_50ms/flow_matching_aif_K8,846
100,16,18,id_n_sweep,0,flow_matching_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_100ms/flow_matching_aif_K16,709
250,64,18,id_n_sweep,0,flow_matching_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_250ms/flow_matching_aif_K64,746
500,128,18,id_n_sweep,0,flow_matching_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_500ms/flow_matching_aif_K128,796
1000,256,18,id_n_sweep,0,flow_matching_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_1000ms/flow_matching_aif_K256,672
50,2,18,id_n_sweep,0,transformer_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_50ms/transformer_aif_K2,463
100,4,18,id_n_sweep,0,transformer_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_100ms/transformer_aif_K4,489
250,16,18,id_n_sweep,0,transformer_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_250ms/transformer_aif_K16,443
500,32,18,id_n_sweep,0,transformer_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_500ms/transformer_aif_K32,569
1000,64,18,id_n_sweep,0,transformer_aif,False,outputs/equal_wall_clock_cpu/evaluation_runs/id_n_sweep/budget_1000ms/transformer_aif_K64,668
