K,collision_rate,episodes,fall_out_rate,mean_best_of_K_G_total,mean_both_side_routes_covered,mean_center_route_fraction,mean_episode_length,mean_feasible_proposal_rate,mean_feasible_side_route_coverage,mean_final_distance_to_goal,mean_invalid_action_fraction,mean_invalid_route_fraction,mean_left_route_fraction,mean_planning_time_per_decision,mean_proposal_time_per_decision,mean_right_route_fraction,mean_rollout_scoring_time_per_decision,mean_route_entropy,mean_total_planning_time_per_episode,mean_total_wall_clock_time_per_episode,mean_wall_clock_time_per_decision,model,success_rate,timeout_rate,variant
128,0.0,18,0.05555555555555555,15.851666719845655,0.0,0.4102578166935051,85.44444444444444,0.9694965277777777,0.0,0.6360788299805589,0.0,0.03050347222222223,0.25262576321792807,0.7262128085392419,0.36336427853013653,0.30661294786634463,0.3619739198289336,0.09642897335291549,62.12100040322467,62.29092040827769,0.7282009734326006,cem_aif,0.1111111111111111,0.8333333333333334,aif_cem
16,0.0,18,0.1111111111111111,18.71814992748756,0.0,0.48949497212266013,88.44444444444444,0.9744810334528078,0.0,1.0895814796288807,0.0,0.025518966547192358,0.2916679111907607,0.09027066031854171,0.04511599668176417,0.1933181501393867,0.0450005209995602,0.07228040304175888,7.987494786347573,8.041161408770778,0.09087716772348108,cem_aif,0.0,0.8888888888888888,aif_cem
256,0.0,18,0.0,13.43596343613152,0.0,0.35814945521868924,85.66666666666667,0.9565506766715216,0.0,0.5258170767790742,0.0,0.04344932332847829,0.2480679712694747,1.458031304445064,0.7285916145823139,0.35033325018335787,0.7272175143882641,0.10109987027658653,124.99739176905456,125.36680126705323,1.4623451465382296,cem_aif,0.2222222222222222,0.7777777777777778,aif_cem
32,0.0,18,0.05555555555555555,16.569943016390333,0.0,0.49944962090886563,88.55555555555556,0.9584889846743295,0.0,0.8665767808755239,0.0,0.041511015325670496,0.2201270844849825,0.1804208080425679,0.09021605671232262,0.2389122792804813,0.08997331330301975,0.10497600406630431,15.97535431630806,16.04233578542092,0.1811771788277731,cem_aif,0.05555555555555555,0.8888888888888888,aif_cem
64,0.0,18,0.0,15.053250109487111,0.0,0.4885361552028218,88.5,0.9680941358024691,0.0,0.7263044214083089,0.0,0.03190586419753086,0.1654458774250441,0.3606008505259293,0.18012800308572588,0.31411210317460314,0.18007180341487591,0.09830213207521557,31.92559201340191,32.021398317983966,0.361683712654602,cem_aif,0.05555555555555555,0.9444444444444444,aif_cem
8,0.0,18,0.5,26.766216455212707,0.0,0.374694648180732,78.05555555555556,0.9244449870456624,0.0,1.3766625490453508,0.0,0.07555501295433767,0.30349855976169443,0.04467485547290373,0.022305207489441366,0.2462517791032359,0.022252873865860417,0.04990466727388369,3.4963387807721222,3.5378463298159963,0.04520616217695877,cem_aif,0.0,0.5,aif_cem
1024,0.0,18,0.0,8.56237679085457,0.0,0.425864645639664,70.72222222222223,0.9830343132421672,0.0,0.09670278843906191,0.0,0.01696568675783269,0.21276010845952312,8.794119138698035,5.857321210901407,0.34440955914298027,2.927215667062546,0.11248075562521263,623.5112021678651,624.7241357285852,8.811293892268896,cem_aif,0.9444444444444444,0.05555555555555555,aif_cem_reference
512,0.0,18,0.05555555555555555,10.709626745727865,0.0,0.3671785585009329,74.0,0.9738203154598324,0.0,0.10741561734014088,0.0,0.02617968454016771,0.4395607336705757,4.396787236471192,2.924583501779807,0.16708102328832367,1.4678368575942193,0.09747717127505609,326.50002728385476,327.14122136570063,4.405444535138599,cem_aif,0.8888888888888888,0.05555555555555555,aif_cem_reference
128,0.0,18,0.0,7.359305047294961,0.0,0.31370238973071746,41.611111111111114,0.9355541117635959,0.0,0.0891683619055483,0.0,0.0644458882364042,0.283514822055349,0.7241396047655225,0.36914736945938154,0.3383368999775293,0.3548331190864933,0.19589917843045643,30.160632627236836,30.246392950658144,0.7262106177012985,bc_mdn_aif,1.0,0.0,gated_hybrid
128,0.0,18,0.0,6.958961447506688,0.0,0.30634746973085536,36.666666666666664,0.9543910653224413,0.0,0.08109395205974579,0.0,0.04560893467755869,0.2868235647747228,0.7248723183052044,0.369003015131013,0.36122003081686316,0.3557066410058036,0.20823760350392134,26.627769496353316,26.707017388278878,0.7270316642767077,cvae_aif,1.0,0.0,gated_hybrid
128,0.0,18,0.0,7.079296501463958,0.0,0.15946887621225952,42.55555555555556,0.9995830202418906,0.0,0.09726734376615948,0.0,0.0004169797581093512,0.28383723462587235,0.7689460968499016,0.410499062792456,0.5562769094037587,0.35828730385308777,0.06626853493376435,32.81915692645513,32.915559751770665,0.77121102272744,diffusion_policy_aif,1.0,0.0,gated_hybrid
128,0.0,18,0.0,7.5093130727902855,0.0010893246187363833,0.32685232240886897,42.94444444444444,0.939981806986185,0.0010893246187363833,0.1385074377887779,0.0,0.060018193013815085,0.18459274856919786,0.7321384427714278,0.3732107556572207,0.4285367360081181,0.35876637005094353,0.21548494043693353,31.4673700100296,31.564034571994043,0.7343920031285431,flow_matching_aif,0.9444444444444444,0.05555555555555555,gated_hybrid
128,0.0,18,0.0,7.209138850944003,0.0,0.3055279199988741,41.0,0.9373937945209403,0.0,0.0843353205256992,0.0,0.0626062054790598,0.25884360412642904,0.736409623024076,0.3798175008455382,0.37302227039563707,0.35642267541592365,0.18616869856402188,30.255796379577887,30.345930228239418,0.7386093432452213,transformer_aif,1.0,0.0,gated_hybrid
16,0.0,18,0.0,8.130729887197235,0.0,0.3185259585268611,49.72222222222222,0.9575692181154789,0.0,0.16051782957381672,0.0,0.04243078188452107,0.3006327869473179,0.09056883078192807,0.0460760586995052,0.3384104726412999,0.0443881920323987,0.1594952143796548,4.517077284690458,4.548932341978394,0.09121003777557277,bc_mdn_aif,0.9444444444444444,0.05555555555555555,gated_hybrid
16,0.0,18,0.05555555555555555,8.454168387970407,0.0008547008547008547,0.2524840049302287,43.77777777777778,0.9577454764717026,0.0008547008547008547,0.20485174987051222,0.0,0.042254523528297366,0.26310551169865065,0.09059298165421126,0.04586461822157454,0.4421559598428233,0.04462066199291852,0.18082021438179954,3.974917461186932,4.002901223918242,0.09123236714900733,cvae_aif,0.9444444444444444,0.0,gated_hybrid
16,0.0,18,0.0,7.43231063756807,0.0,0.1422725216089162,46.77777777777778,0.9978855313406724,0.0,0.10782857280638483,0.0,0.00211446865932753,0.34488291971431734,0.11182275719394312,0.06691987055186356,0.510730090017439,0.04479761239232886,0.06529112819765531,5.235721680303363,5.2659464574212,0.11246887855088802,diffusion_policy_aif,1.0,0.0,gated_hybrid
16,0.0,18,0.0,7.348655221050403,0.0,0.27988251449639556,46.888888888888886,0.9523520046539671,0.0,0.10210179165005684,0.0,0.04764799534603284,0.1674851616285488,0.09355309172882001,0.048672312279759405,0.5049843285290229,0.04477804830429522,0.19394335888951536,4.389439056394622,4.419558566260902,0.09419711176865299,flow_matching_aif,1.0,0.0,gated_hybrid
16,0.0,18,0.0,8.867989056725488,0.0006172839506172839,0.3584825954177616,52.05555555555556,0.9470200366019466,0.0006172839506172839,0.24849465323819053,0.0,0.052979963398053526,0.2628528186740549,0.09757311882602908,0.05278235187811685,0.32568462251013003,0.044682531699804975,0.18941579569961545,5.072738332654505,5.106428774212771,0.09822144886757105,transformer_aif,0.8333333333333334,0.16666666666666666,gated_hybrid
256,0.0,18,0.0,7.687050064420644,0.0,0.3505072789130149,44.111111111111114,0.9360626385951145,0.0,0.13406098095907104,0.0,0.06393736140488555,0.24640067374891958,1.44647430320457,0.7366199767332534,0.33915468593317993,0.7096711629113333,0.1976816236983641,63.87414779931876,64.06143166953956,1.4507331723947812,bc_mdn_aif,0.9444444444444444,0.05555555555555555,gated_hybrid
256,0.0,18,0.0,6.98059902445818,0.001182033096926714,0.32280932043374594,36.22222222222222,0.9373600936915736,0.001182033096926714,0.07963596822486983,0.0,0.06263990630842638,0.3046566682477171,1.4494634876217747,0.7366749313724074,0.30989410501011055,0.7126053657929476,0.22778066425321905,52.62147440623893,52.78548013567666,1.453992457377244,cvae_aif,1.0,0.0,gated_hybrid
256,0.0,18,0.0,7.085119063325539,0.0,0.17049016054604385,41.5,0.9988936401778198,0.0,0.09703798757659064,0.0,0.0011063598221801349,0.22518739938366591,1.5320591816316265,0.8052184037852446,0.6032160802481101,0.7266561114676748,0.06890180178341165,63.67816816801658,63.870549578539794,1.5366998236585623,diffusion_policy_aif,1.0,0.0,gated_hybrid
256,0.0,18,0.0,7.20142282824374,0.0,0.32508706145292826,41.27777777777778,0.9275896321542328,0.0,0.08266770756906933,0.0,0.07241036784576711,0.2223463733298292,1.4591628868129625,0.7439184974084305,0.3801561973714754,0.7150592561135698,0.2263594502347286,60.32528111507741,60.512772339890944,1.4637187444638091,flow_matching_aif,1.0,0.0,gated_hybrid
256,0.0,18,0.0,6.90884049611003,0.0,0.3061128094454216,37.166666666666664,0.9311752950491287,0.0,0.08482025025619401,0.0,0.06882470495087122,0.2544008779854713,1.475015227281639,0.7591734821409735,0.3706616076182359,0.7156577072311394,0.18873275918780363,54.91117287764468,55.08023628013325,1.4795709219443167,transformer_aif,1.0,0.0,gated_hybrid
32,0.0,18,0.0,7.563212933772912,0.0,0.31763871712794445,44.0,0.9393969905171038,0.0,0.08979544209109412,0.0,0.060603009482896174,0.21228486737189434,0.1813392475135229,0.09246965358753978,0.4094734060172651,0.08875796774300954,0.20254740200054283,7.992911477156061,8.027517614698606,0.18212795127476797,bc_mdn_aif,1.0,0.0,gated_hybrid
32,0.0,18,0.0,7.542114408641378,0.0,0.2680137065224057,43.111111111111114,0.9517689590784028,0.0,0.14713617910941443,0.0,0.04823104092159716,0.2584851047871881,0.18089337768660857,0.0918114412126501,0.425270147768809,0.08896476512991294,0.2180252477638259,7.804126996825087,7.838290569003827,0.18168664636930465,cvae_aif,0.9444444444444444,0.05555555555555555,gated_hybrid
32,0.0,18,0.0,7.296175643922273,0.0,0.10516231534828696,43.666666666666664,0.9998516730853688,0.0,0.10551823634240362,0.0,0.00014832691463126247,0.38211750566100017,0.20408414584050477,0.11416973652491687,0.5125718520760816,0.08978788209984256,0.06238656189420297,8.920705063213568,8.955606237690922,0.20488295444233662,diffusion_policy_aif,1.0,0.0,gated_hybrid
32,0.0,18,0.0,8.12162907195769,0.0,0.31365283966822016,50.44444444444444,0.9384747699147107,0.0,0.16512439648310342,0.0,0.061525230085289234,0.21400794793953595,0.18384784761173817,0.09472572472233615,0.41081398230695465,0.0889963757542167,0.21019109843627842,9.26523989569331,9.305279998567938,0.18464191995374557,flow_matching_aif,0.9444444444444444,0.05555555555555555,gated_hybrid
